File,Cross-Entropy,Overall,Overall Binary
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/ActorEditorWindow.java,1.7886229515075684,"{2.81463e-08,0.237515,0.762485,2.48766e-07}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/AnimationPreviewer.java,1.6032928625742595,"{0.0,2.55598e-05,0.33632,0.663654}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/distortion/CustomDistortion.java,1.099784016609192,"{0.0,0.0,0.718747,0.281253}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/FilterParameterTrack.java,1.329455812772115,"{3e-20,1.52735e-05,0.621429,0.378556}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/IKTrack.java,1.5110826194286346,"{8.98743e-10,0.00424964,0.98226,0.0134906}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/NullKeyframe.java,1.2351101636886597,"{1.0,0.0,0.0,0.0}",False
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/PositionTrack.java,1.4238412380218506,"{3.16518e-06,0.293478,0.553163,0.153356}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/Skeleton.java,1.1049142479896545,"{0.0,2.04489e-06,0.101905,0.898093}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/SkeletonTool.java,2.0452826976776124,"{2.69737e-15,0.000637118,0.778688,0.220675}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/animation/VerticalAxis.java,1.550315260887146,"{0.0,1.0,0.0,0.0}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/ApplicationPreferences.java,1.048449198404948,"{1.05354e-15,0.292087,0.707912,8.54689e-07}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/CreateCubeTool.java,2.0291163325309753,"{6.26927e-11,0.160984,0.839016,6.86164e-09}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/CreateCylinderTool.java,1.9828972816467285,"{1.34211e-05,0.811055,0.188931,2.1468e-12}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/CreateVertexTool.java,1.2456259330113728,"{0.0,0.0036873,0.0400825,0.95623}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/CurveViewer.java,2.355278213818868,"{0.0,0.0277433,0.68544,0.286817}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/image/ImageOrColor.java,1.3574713468551636,"{0.00057048,0.992867,0.00656229,0.0}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/image/ImageSaver.java,1.52501646677653,"{7.18587e-14,0.0121499,0.987692,0.000158553}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/keystroke/KeystrokeEditor.java,2.72969126701355,"{0.00137148,0.935403,0.0632256,9.20024e-13}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/keystroke/KeystrokePreferencesPanel.java,1.405384361743927,"{9.40091e-05,0.428737,0.571168,9.89641e-07}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/material/Material3D.java,2.4693119525909424,"{0.952335,0.0476649,3.02513e-07,2.01474e-15}",False
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/material/MaterialMapping.java,1.750001072883606,"{0.984911,0.0150895,1.29179e-09,0.0}",False
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/math/Cells.java,1.1122087240219116,"{0.0,0.0,7.72865e-06,0.999992}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/math/Mat4.java,0.5712182447314262,"{3.23e-18,0.000177758,0.999822,1.78978e-07}",True
